id-локации;краткое описание;полное описание;количество стрелков;количество штурмовиков;количество огневиков;количество лутбоксов;
0;Зелёный коридор бункера - уровень 0.;Стартовая точка. Проход идёт на север.;0;0;0;0;0;0;
1;Зелёный коридор бункера - уровень 1.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;2;2;2;0;
2;Зелёный коридор бункера - уровень 2.;Проход идёт на север к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;3;0;0;1;
3;Зелёный коридор бункера - уровень 3.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;0;0;0;3;
4;Зелёный коридор бункера - уровень 4.;Проход идёт на север к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;0;0;0;2;
5;Зелёный коридор бункера - уровень 5.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;0;0;0;3;
6;Зелёный коридор бункера - уровень 6.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;0;0;0;3;
7;Зелёный коридор бункера - уровень 7.;Проход идёт на север к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;0;0;0;0;
8;Зелёный коридор бункера - уровень 8.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;0;1;0;0;
9;Зелёный коридор бункера - уровень 9.;Конечная комната зелёного коридора, проход идёт только назад на запад.;0;0;0;0;
10;Ответвление от коридора бункера - уровень 1.;Проход идёт на восток, на верх, в низ и на юго-восток.;0;0;0;0;
11;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад на запад.;0;0;0;0;
12;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад на верх.;0;0;0;0;
13;Ответвление от коридора бункера - уровень 1.;Проход идёт на запад, на верх и в низ.;0;0;0;0;
14;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад на восток.;0;0;0;0;
15;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад в низ.;0;0;0;0;
16;Ответвление от коридора бункера - уровень 2.;Проход идёт в низ, на север и на юго-восток.;0;0;0;0;
17;Ответвление от коридора бункера - уровень 2.;Тупик. Проход идёт только назад на восток.;0;0;0;0;
18;Ответвление от коридора бункера - уровень 2.;Тупик. Проход идёт только назад на юг.;0;0;0;0;
19;Ответвление от коридора бункера - уровень 2.;Проход идёт на запад, на север и на восток.;0;0;0;0;
20;Ответвление от коридора бункера - уровень 2.;Проход идёт на запад и на верх.;0;0;0;0;
21;Ответвление от коридора бункера - уровень 2.;Тупик. Проход идёт только назад на юг.;0;0;0;0;
22;Ответвление от коридора бункера - уровень 3.;Проход идёт на юг, на север, в низ и на юго-восток.;0;0;0;0;
23;Ответвление от коридора бункера - уровень 3.;Проход идёт в низ и на север.;0;0;0;0;
24;Ответвление от коридора бункера - уровень 3.;Проход идёт на восток и на верх.;0;0;0;0;
25;Ответвление от коридора бункера - уровень 3.;Проход идёт на юг, на верх и на зпад.;0;0;0;0;
26;Ответвление от коридора бункера - уровень 3.;Проход идёт на юг и на север.;0;0;0;0;
27;Ответвление от коридора бункера - уровень 4.;Проход идёт на север, на юг и на юго-восток.;0;0;0;0;
