id исходной локации;id конечной локации;направление движение;
0;1;n;
1;0;s;
1;2;e;
1;10;nw;
2;1;w;
2;3;n;
2;16;nw;
3;2;s;
3;4;e;
3;22;nw;
4;3;w;
4;5;n;
4;27;nw;
5;4;s;
5;6;e;
5;32;nw;
6;5;w;
6;7;e;
6;37;nw;
7;6;w;
7;8;n;
7;43;nw;
8;7;s;
8;9;e;
8;49;nw;
9;8;w;
10;1;se;
10;11;e;
10;12;d;
10;13;u;
11;10;w;
12;10;u;
13;10;d;
13;14;w;
13;15;u;
14;13;e;
15;13;d;
16;2;se;
16;21;n;
16;20;d;
17;19;e;
18;19;s;
19;17;w;
19;18;s;
19;20;e;
20;19;w;
20;16;u;
21;16;s;
22;3;se;
22;23;s;
22;25;d;
22;26;n;
23;22;n;
23;24;d;
24;23;u;
24;25;e;
25;24;w;
25;22;u;
25;26;s;
26;25;n;
26;22;s;
27;4;se;
27;28;s;
27;31;n;
28;27;n;
28;29;d;
28;30;e;
28;31;s;
29;28;u;
29;30;d;
30;28;w;
30;29;u;
30;31;e;
31;27;s;
31;28;n;
31;30;w;
32;5;se;
32;33;s;
32;36;e;
33;32;n;
33;34;s;
33;35;d;
33;36;u;
34;33;n;
34;35;e;
35;33;u;
35;34;w;
35;36;n;
36;32;w;
36;33;d;
36;35;s;
37;6;se;
37;38;w;
38;37;e;
38;39;n;
38;40;s;
39;38;s;
39;41;n;
40;38;n;
40;42;u;
41;39;s;
42;40;d;
43;7;se;
43;44;n;
44;43;s;
44;45;d;
44;46;e;
45;44;u;
45;47;w;
46;44;w;
46;48;n;
47;45;e;
48;46;s;
49;8;se;
49;50;e;
49;51;s;
49;53;d;
50;49;w;
50;51;u;
51;49;n;
51;50;d;
51;52;w;
52;51;e;
53;49;u;
